,station_id,station_name,year,snow,t_mean,lon,lat
183,249200470,KRYNICA,2002,14,-17.3,20.966667,49.416667
184,249200480,BUKOWINA TATRZAŃSKA,2002,9,-10.7,20.116667,49.35
185,249200490,MUSZYNA,2002,10,-21.0,20.883333,49.35
186,249200510,PORONIN,2002,16,-18.4,20.033333,49.333333
187,249200540,HALA GĄSIENICOWA,2002,19,-8.4,20.005833,49.244167
188,249200550,DOLINA PIĘCIU STAWÓW,2002,20,-9.3,20.05,49.216667
189,249210070,BIECZ-GRUDNA,2002,4,-19.2,21.25,49.733333
190,249210140,DUKLA,2002,0,-16.7,21.683333,49.566667
191,249210230,WYSOWA,2002,9,-20.0,21.183333,49.433333
192,249210240,BARWINEK,2002,10,-20.3,21.683333,49.433333
193,249220040,DYNÓW,2002,4,-14.8,22.233333,49.833333
194,249220080,SANOK-TREPCZA,2002,7,-17.2,22.183333,49.583333
195,249220150,SOLINA-JAWOR,2002,10,-15.5,22.466667,49.4
196,249220170,BALIGRÓD-MCHAWA,2002,8,-20.0,22.283333,49.35
197,249220180,KOMAŃCZA,2002,8,-21.3,22.066667,49.333333
198,249220210,TERKA,2002,10,-18.5,22.433333,49.3
199,249220280,STUPOSIANY,2002,6,-22.2,22.683333,49.183333
200,250140030,BOGATYNIA,2002,2,-3.1,14.983333,50.9
201,250150090,ŚWIERADÓW-ZDRÓJ,2002,10,-2.9,15.334718,50.909222
202,250150150,SZKLARSKA PORĘBA,2002,4,-3.9,15.533333,50.833333
203,250150170,JAKUSZYCE,2002,20,-6.8,15.45,50.816667
204,250150220,KARPACZ,2002,9,-4.3,15.783333,50.783333
205,250150250,PAPROTKI,2002,15,-6.5,15.95,50.733333
206,250160090,PSZENNO,2002,2,-9.3,16.55,50.85
207,250160130,SZCZAWNO-ZDRÓJ,2002,6,-4.9,16.233333,50.8
208,250160360,TARNÓW,2002,11,-10.8,20.984444,50.03
209,250160480,SŁOSZÓW,2002,8,-7.5,16.379722,50.41
210,250160520,LĄDEK-ZDRÓJ,2002,7,-8.2,16.883333,50.35
211,250160590,DŁUGOPOLE-ZDRÓJ,2002,12,-7.2,16.633333,50.25
212,250160610,BOLESŁAWÓW,2002,12,-7.8,16.883333,50.25
213,250170110,DOBROGOSZCZ,2002,1,-10.6,17.016667,50.766667
214,250170140,GRODKÓW,2002,6,-14.6,17.4,50.683333
215,250170240,KORFANTÓW,2002,7,-14.5,17.6,50.483333
216,250170250,OTMUCHÓW,2002,7,-15.8,17.166667,50.466667
217,250170330,GŁUCHOŁAZY,2002,7,-10.1,17.383333,50.3
218,250170390,GŁUBCZYCE,2002,12,-14.8,17.8,50.183333
219,250180030,STARE OLESNO,2002,3,-12.8,18.033889,50.084444
220,250180120,KOCHCICE,2002,4,-11.9,18.683333,50.716667
221,250180270,ŚWIERKLANIEC,2002,4,-14.8,18.95,50.433333
222,250180380,SUKOWICE,2002,5,-15.8,18.166667,50.266667
223,250190030,SILNICZKA,2002,7,-17.8,19.766667,50.916667
224,250190160,LGOTA GÓRNA,2002,6,-14.8,19.233333,50.6
225,250190250,ZĄBKOWICE,2002,9,-13.2,19.283333,50.366667
226,250190290,OLEWIN,2002,6,-15.0,19.6025,50.2775
227,250190380,BIERUŃ STARY,2002,8,-16.1,19.1,50.083333
228,250190390,KRAKÓW-OBSERWATORIUM,2002,5,-15.3,19.966667,50.066667
229,250190530,KATOWICE PYRZOWICE,2002,4,-13.0,19.076111,50.472778
230,250200040,BODZENTYN,2002,4,-17.1,20.95,50.95
231,250200120,SKRONIÓW,2002,5,-16.9,20.266667,50.633333
232,250200210,MIECHÓW,2002,2,-17.3,20.033333,50.366667
233,250200220,SIELEC,2002,1,-17.3,20.416667,50.316667
234,250200230,BORUSOWA,2002,5,-15.8,20.8,50.283333
235,250200280,IGOŁOMIA,2002,2,-16.4,20.266667,50.1
236,250210050,ŚWIĘTY KRZYŻ,2002,8,-13.7,21.05,50.85
237,250210130,STASZÓW,2002,4,-15.1,21.183333,50.6
238,250210180,CHORZELÓW,2002,4,-15.5,21.45,50.35
239,250210240,ZAWADA,2002,2,-15.9,21.483333,50.066667
240,250220030,WYSOKIE,2002,11,-16.6,22.666667,50.916667
241,250220120,JAROCIN,2002,4,-15.1,22.3,50.566667
242,250230070,TOMASZÓW LUBELSKI,2002,10,-16.3,23.4,50.45
243,250230120,NOWY LUBLINIEC,2002,0,-14.4,23.1,50.266667
244,250240010,STRZYŻÓW,2002,10,-19.1,24.033333,50.85
245,251150060,CEBER,2002,0,-7.7,16.65,51.716667
246,251150080,GRABIK,2002,1,-7.3,15.116667,51.65
247,251150180,TOMASZÓW BOLESŁAWIECKI,2002,3,-10.3,15.683333,51.283333
248,251150250,ZGORZELEC,2002,4,-5.8,15.033333,51.133333
249,251160150,POLKOWICE DOLNE,2002,1,-8.4,16.05,51.5
250,251160170,CHWAŁKOWICE,2002,1,-9.0,16.613889,51.448889
251,251170030,WITASZYCE,2002,2,-12.4,17.55,51.95
252,251170090,SMOLICE,2002,0,-9.9,17.183333,51.7
253,251170150,GRABOWNICA,2002,1,-10.9,17.45,51.466667
254,251170290,NAMYSŁÓW,2002,0,-13.9,17.733333,51.083333
255,251170320,JELCZ-LASKOWICE,2002,0,-11.9,17.35,51.05
256,251180090,SIERADZ,2002,3,-14.4,18.7,51.6
257,251190050,PUCZNIEW,2002,3,-14.6,19.083333,51.783333
258,251200030,SKIERNIEWICE,2002,2,-16.3,20.166667,51.966667
259,251200150,ŁAZISKA,2002,4,-17.2,20.916667,51.333333
260,251210040,JARCZEW,2002,11,-15.8,21.983333,51.816667
261,251210120,PUŁAWY,2002,5,-15.6,21.966667,51.416667
262,251220070,SOBIESZYN,2002,7,-16.2,22.15,51.616667
263,251230120,BEZEK,2002,9,-16.8,23.266667,51.183333
264,252150050,KRZYŻ,2002,1,-11.5,15.983333,52.883333
